Experiment: JA_2020-08-30-shortvslong_n1  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	10.55		0	
True	255	A2	Sample 2	10.44		0	
True	255	A3	Sample 3	10.28		0	
True	255	A4	Sample 4	  9.68		0	
True	255	A5	Sample 5	  9.72		0	
True	255	A6	Sample 6	  9.50		0	
True	255	A7	Sample 7	  9.98		0	
True	255	A8	Sample 8	10.26		0	
True	255	A9	Sample 9	  9.89		0	
True	255	A10	Sample 10	  9.44		0	
True	255	A11	Sample 11	  9.48		0	
True	255	A12	Sample 12	  9.36		0	
True	255	A13	Sample 13	  9.83		0	
True	255	A14	Sample 14	  9.85		0	
True	255	A15	Sample 15	  9.66		0	
True	255	A16	Sample 16	  9.37		0	
True	255	A17	Sample 17	  8.79		0	
True	255	A18	Sample 18	  8.93		0	
True	255	A19	Sample 19	29.56		0	
True	255	A20	Sample 20	30.35		0	
True	255	A21	Sample 21	30.00		0	
True	255	A22	Sample 22	30.38		0	
True	255	A23	Sample 23	28.97		0	
True	255	A24	Sample 24	30.41		0	
True	255	B1	Sample 25	10.87		0	
True	255	B2	Sample 26	11.33		0	
True	255	B3	Sample 27	10.89		0	
True	255	B4	Sample 28	10.65		0	
True	255	B5	Sample 29	10.13		0	
True	255	B6	Sample 30	  9.86		0	
True	255	B7	Sample 31	10.50		0	
True	255	B8	Sample 32	10.84		0	
True	255	B9	Sample 33	10.71		0	
True	255	B10	Sample 34	10.50		0	
True	255	B11	Sample 35	  9.96		0	
True	255	B12	Sample 36	  9.91		0	
True	255	B13	Sample 37	10.46		0	
True	255	B14	Sample 38	10.80		0	
True	255	B15	Sample 39	10.36		0	
True	255	B16	Sample 40	10.19		0	
True	255	B17	Sample 41	  9.79		0	
True	255	B18	Sample 42	  9.70		0	
True	255	B19	Sample 43	30.74		0	
True	65280	B20	Sample 44			0	
True	255	B21	Sample 45	29.87		0	
True	255	B22	Sample 46	30.28		0	
True	255	B23	Sample 47	30.54		0	
True	65280	B24	Sample 48			0	
True	255	C1	Sample 49	11.30		0	
True	255	C2	Sample 50	10.89		0	
True	255	C3	Sample 51	10.60		0	
True	255	C4	Sample 52	10.60		0	
True	255	C5	Sample 53	  9.87		0	
True	255	C6	Sample 54	10.31		0	
True	255	C7	Sample 55	10.61		0	
True	255	C8	Sample 56	10.70		0	
True	255	C9	Sample 57	10.37		0	
True	255	C10	Sample 58	  9.97		0	
True	255	C11	Sample 59	  9.82		0	
True	255	C12	Sample 60	  9.85		0	
True	255	C13	Sample 61	10.52		0	
True	255	C14	Sample 62	10.83		0	
True	255	C15	Sample 63	10.44		0	
True	255	C16	Sample 64	10.23		0	
True	255	C17	Sample 65	  9.71		0	
True	255	C18	Sample 66	  9.91		0	
True	65280	C19	Sample 67			0	
True	65280	C20	Sample 68			0	
True	255	C21	Sample 69	32.28		0	
True	65280	C22	Sample 70			0	
True	255	C23	Sample 71	30.62		0	
True	65280	C24	Sample 72			0	
True	255	D1	Sample 73	10.23		0	
True	255	D2	Sample 74	  9.79		0	
True	255	D3	Sample 75	  9.58		0	
True	255	D4	Sample 76	  9.46		0	
True	255	D5	Sample 77	  8.84		0	
True	255	D6	Sample 78	  8.99		0	
True	255	D7	Sample 79	  9.71		0	
True	255	D8	Sample 80	  9.80		0	
True	255	D9	Sample 81	  9.29		0	
True	255	D10	Sample 82	  9.41		0	
True	255	D11	Sample 83	  8.70		0	
True	255	D12	Sample 84	  8.65		0	
True	255	D13	Sample 85	  9.51		0	
True	255	D14	Sample 86	  9.72		0	
True	255	D15	Sample 87	  9.53		0	
True	255	D16	Sample 88	  8.98		0	
True	255	D17	Sample 89	  8.72		0	
True	255	D18	Sample 90	  8.74		0	
True	255	D19	Sample 91	35.54		0	
True	255	D20	Sample 92	35.94		0	
True	65280	D21	Sample 93			0	
True	65280	D22	Sample 94			0	
True	65280	D23	Sample 95			0	
True	65280	D24	Sample 96			0	
True	255	E1	Sample 97	12.83		0	
True	255	E2	Sample 98	12.94		0	
True	255	E3	Sample 99	12.87		0	
True	255	E4	Sample 100	12.41		0	
True	255	E5	Sample 101	12.43		0	
True	255	E6	Sample 102	12.45		0	
True	255	E7	Sample 103	12.84		0	
True	255	E8	Sample 104	12.68		0	
True	255	E9	Sample 105	12.61		0	
True	255	E10	Sample 106	12.55		0	
True	255	E11	Sample 107	12.36		0	
True	255	E12	Sample 108	12.43		0	
True	255	E13	Sample 109	12.70		0	
True	255	E14	Sample 110	12.88		0	
True	255	E15	Sample 111	12.74		0	
True	255	E16	Sample 112	12.55		0	
True	255	E17	Sample 113	12.00		0	
True	255	E18	Sample 114	12.45		0	
True	65280	E19	Sample 115			0	
True	65280	E20	Sample 116			0	
True	65280	E21	Sample 117			0	
True	65280	E22	Sample 118			0	
True	65280	E23	Sample 119			0	
True	65280	E24	Sample 120			0	
True	255	F1	Sample 121	  8.93		0	
True	255	F2	Sample 122	  8.74		0	
True	255	F3	Sample 123	  8.90		0	
True	255	F4	Sample 124	25.47		0	
True	255	F5	Sample 125	25.55		0	
True	255	F6	Sample 126	24.74		0	
True	255	F7	Sample 127	  8.58		0	
True	255	F8	Sample 128	  8.69		0	
True	255	F9	Sample 129	  8.71		0	
True	255	F10	Sample 130	23.79		0	
True	255	F11	Sample 131	24.39		0	
True	255	F12	Sample 132	21.39		0	
True	255	F13	Sample 133	  8.62		0	
True	255	F14	Sample 134	  8.45		0	
True	255	F15	Sample 135	  8.53		0	
True	255	F16	Sample 136	21.51		0	
True	255	F17	Sample 137	24.44		0	
True	255	F18	Sample 138	23.46		0	
True	255	F19	Sample 139	28.38		0	
True	255	F20	Sample 140	29.62		0	
True	255	F21	Sample 141	29.91		0	
True	255	F22	Sample 142	29.13		0	
True	255	F23	Sample 143	29.69		0	
True	255	F24	Sample 144	29.23		0	
True	255	G1	Sample 145	10.36		0	
True	255	G2	Sample 146	  9.93		0	
True	255	G3	Sample 147	  9.80		0	
True	255	G4	Sample 148	10.85		0	
True	255	G5	Sample 149	11.43		0	
True	255	G6	Sample 150	10.80		0	
True	255	G7	Sample 151	  9.58		0	
True	255	G8	Sample 152	  9.77		0	
True	255	G9	Sample 153	  9.72		0	
True	255	G10	Sample 154	10.79		0	
True	255	G11	Sample 155	11.61		0	
True	255	G12	Sample 156	10.87		0	
True	255	G13	Sample 157	  9.69		0	
True	255	G14	Sample 158	  9.59		0	
True	255	G15	Sample 159	  9.63		0	
True	255	G16	Sample 160	10.63		0	
True	255	G17	Sample 161	11.38		0	
